1,Melocotones,1,25505,0.19,30351
2,Manzanas,3,18108,0.19,21549
3,Plátanos,4,29681,0.19,35320
4,Lechuga,3,29788,0.19,35448
5,Tomates,1,12739,0.19,15159
6,Calabaza,1,21315,0.19,25365
7,Apio,2,19249,0.19,22906
8,Pepino,2,10958,0.19,13040
9,Champiñones,2,11046,0.19,13145
10,Leche,5,21150,0.19,25169
11,Queso,5,26571,0.19,31619
12,Huevos,2,12445,0.19,14810
13,Requesón,1,14329,0.19,17052
14,Crema agria,1,14856,0.19,17679
15,Yogur,5,14941,0.19,17780
16,Ternera,5,29335,0.19,34909
17,Salmón salvaje,5,11878,0.19,14135
18,Patas de cangrejo,1,29951,0.19,35642